siteLabel,coordinate,siteID
Casa de la Corregidora,Point(-100.389991 20.593362),5755124
Casa de las Sierpes,Point(-71.977178055 -13.515023888),67897873
Casa Álvarez,Point(-71.979768 -13.520001),90826778
Casas Grandes,Point(-107.95556 30.37583),853265
Casbah of Algiers,Point(3.06028 36.78333),662102
Caspian Hyrcanian mixed forests,Point(55.724278055 37.421471944),29724
Castel del Monte,Point(16.2709346 41.0847535),215897
Castillo de San Pedro de la Roca,Point(-75.8703 19.968705555),910189
Castles and Town Walls of King Edward in Gwynedd,Point(-4.276944444 53.139722222),837627
Castra of Gunzenhausen,Point(10.75555556 49.11277778),1466202
Cat Ba Island,Point(106.999722222 20.8),993402
Catalan Romanesque Churches of the Vall de Boí,Point(0.80361111 42.50472222),1091515
Catedral de Mondoñedo,Point(-7.36278 43.4281),2942729
Cathedral and Churches of Echmiatsin and the Archaeological Site of Zvartnots,Point(44.295138888 40.159305555),22026170
"Cathedral of Notre-Dame, Former Abbey of Saint-Rémi and Palace of Tau, Reims",Point(4.032777778 49.25333333),16912637
Cathedral of the Nativity in Suzdal,Point(40.4425 56.416666666),2494499
"Cathedral, Alcázar and Archivo de Indias in Seville",Point(-5.99155 37.38384),9709444
"Cathedral, Torre Civica and Piazza Grande, Modena",Point(10.92568 44.64624),15221022
Cave of Altacosa,Point(-4.11975 43.376944444),133575
Cave of Altacosa,Point(-4.11667 43.38333),133575
Cave of Altamira and Paleolithic Cave Art of Northern Spain,Point(-4.11611111 43.3825),899302
Caves and Ice Age Art in the Swabian Jura,Point(9.765555555 48.387777777),19285921
Caves of Aggtelek Karst and Slovak Karst,Point(20.493879355 48.474656799),608090
Cemetery of Mondement-Montgivroux,Point(3.7754 48.7865),110350440
Cemetery of the Executed in Tamines,Point(4.6142 50.4317),64685483
Cemetery of the Uhlans,Point(7.17285 47.8526),59281347
Centennial Hall,Point(17.077222222 51.106944444),155743
Central Amazon Conservation Complex,Point(-62.0083 -2.33333),2990490
Central Axis of Beijing,Point(116.391608333 39.899638888),6112171
Central Highlands of Sri Lanka,Point(80.8021 7.45245),422941
Central Sikhote-Alin,Point(136.66111 46.68333),64787152
Central Suriname Nature Reserve,Point(-56.5 4.0),189934
Centro Histórico de Angra do Heroísmo,Point(-27.22 38.655),2945656
Centro Histórico de Évora,Point(-7.90777778 38.57305556),8343770
Cerny-en-Laonnois German War Cemetery,Point(3.66449 49.44176),19801255
Cerny-en-Laonnois National Cemetery,Point(3.66657 49.4428),19945177
Cerrado,Point(-47.684611111 -14.005693888),278512
Chaco Culture World Heritage Site,Point(-107.970833333 36.063777777),65648486
"Champagne hillsides, houses and cellars",Point(3.94611 49.0775),20650698
